id,rougeL_f1,emb_cosine,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall
845f557e-cce7-4423-886c-a39e4f6e8a87,0,0.6740983128547668,0.0,0.0,0.0,0.0,0.0
1d895fa1-ca05-4482-b5d0-085e59f464f3,0,0.6791391372680664,0.0,0.0,0.0,0.0,0.0
3a6f3af5-dc63-476c-9894-d6e206980a95,0,0.6754662394523621,0.0,0.0,0.0,0.0,0.0
5587eaaa-a08c-4f42-9bef-2e8f5b96d513,0,0.6903666257858276,0.0,0.0,0.0,0.0,0.0
80870e7a-4937-4c85-a9e5-b4f84b8cae90,0,0.674501359462738,0.0,0.0,0.0,0.0,0.0
84870d2c-f8b0-49ce-8cb1-b010a0f7fc28,0,0.6853451728820801,0.0,0.0,0.0,0.0,0.0
acccfa81-867d-4922-aa31-70d46d5a7740,0,0.6776206493377686,0.0,0.0,0.0,0.0,0.0
6bebb760-3086-4127-a6a5-c0f77cba3b89,0,0.6861397624015808,0.0,0.0,0.0,0.0,0.0
13cf6a7a-3fe7-41eb-b5cd-5ef662d00ad4,0,0.6834889650344849,0.0,0.0,0.0,0.0,0.0
8e45168c-733b-4102-9e84-d3e70e1b0004,0,0.6686267256736755,0.0,0.0,0.0,0.0,0.0
92240764-71e7-408a-9e86-8e87fdf1e168,0,0.6946311593055725,0.0,0.0,0.0,0.0,0.0
4b2986a8-8771-429b-9f04-8c417bc3c2c2,0,0.6671419143676758,0.0,0.0,0.0,0.0,0.0
050797f8-86fc-44fa-887e-72ad643b226e,0,0.671747088432312,0.0,0.0,0.0,0.0,0.0
a3d0db32-6860-41e1-9689-3a02232ea1c4,0,0.6841238737106323,0.0,0.0,0.0,0.0,0.0
be220cf2-e19f-43fe-bbef-806599ff5e98,0,0.6749218106269836,0.0,0.0,0.0,0.0,0.0
25d115fb-a573-48a4-aa77-70c4f3fb9977,0,0.679344117641449,0.0,0.0,0.0,0.0,0.0
cef03e38-f380-410b-9cf0-a7ddf5223c60,0,0.6775134801864624,0.0,0.0,0.0,0.0,0.0
3cbb1637-5ff2-44e5-8b61-50cf72e7cd1a,0,0.6685400009155273,0.0,0.0,0.0,0.0,0.0
b6f6123f-d320-463a-8739-ce678fce5085,0,0.6810449361801147,0.0,0.0,0.0,0.0,0.0
862e1da5-57a2-4475-ba17-d62ebf759556,0,0.6902218461036682,0.0,0.0,0.0,0.0,0.0
f8428f76-4fee-4b03-8a3a-5d27e0352d7c,0,0.6591538786888123,0.0,0.0,0.0,0.0,0.0
3eafcd0f-3f9f-4127-9cbf-797fe96721c4,0,0.6628816723823547,0.0,0.0,0.0,0.0,0.0
4ce7f67f-2363-41c7-b689-7e500a64a7ad,0,0.666619598865509,0.0,0.0,0.0,0.0,0.0
0edbb886-15a3-4c19-8d01-596fd2d57454,0,0.6792144775390625,0.0,0.0,0.0,0.0,0.0
6601f740-87ed-4707-81e2-a381fc210619,0,0.6763448119163513,0.0,0.0,0.0,0.0,0.0
1f40fc15-0c37-4ed5-adba-cc0e1cfbe97c,0,0.6591089367866516,0.0,0.0,0.0,0.0,0.0
566fc459-d0a0-4452-ae7e-53300ebc26e1,0,0.6778188347816467,0.0,0.0,0.0,0.0,0.0
807e1915-ac8c-4e75-a138-3a3d43a8c71f,0,0.6545866131782532,0.0,0.0,0.0,0.0,0.0
583a7282-a5dd-49a1-8bf0-fb8af3930d95,0,0.6863086223602295,0.0,0.0,0.0,0.0,0.0
5648a20d-5200-4d71-806f-725907aeb4b1,0,0.6762752532958984,0.0,0.0,0.0,0.0,0.0
94fa4422-f12c-427a-95da-d05a28975031,0,0.6622145175933838,0.0,0.0,0.0,0.0,0.0
3aad1a08-d709-4492-aa65-b12dcb15e9b2,0,0.6745938062667847,0.0,0.0,0.0,0.0,0.0
0dc94a72-c8d5-405b-8584-3007c9eccb25,0,0.6812512874603271,0.0,0.0,0.0,0.0,0.0
b70de4f6-d438-491a-9500-2791c6ae8233,0,0.6620344519615173,0.0,0.0,0.0,0.0,0.0
aacd2c5a-2259-4765-ae3f-89e343ee38cd,0,0.666429340839386,0.0,0.0,0.0,0.0,0.0
ea455a15-0ffa-4753-b7de-9808e23c5695,0,0.6857590079307556,0.0,0.0,0.0,0.0,0.0
e2ce6652-1d8c-4d8e-b13d-15a5386f1642,0,0.6669649481773376,0.0,0.0,0.0,0.0,0.0
f515bdba-2acb-41de-aa9f-edcfa547a864,0,0.6760374307632446,0.0,0.0,0.0,0.0,0.0
9e4c980f-9a52-4b36-a6bf-4d1076092784,0,0.6739547848701477,0.0,0.0,0.0,0.0,0.0
fc09445a-c1d3-4fd1-b3ef-30b2ab464382,0,0.6735256314277649,0.0,0.0,0.0,0.0,0.0
84f76329-698c-44bf-b16b-7a25d2e873e6,0,0.6832926273345947,0.0,0.0,0.0,0.0,0.0
affdbe83-abc5-45c9-88ba-32ffef615393,0,0.6837727427482605,0.0,0.0,0.0,0.0,0.0
ac545dca-ca3c-4041-b98c-14d7d7c2e0c3,0,0.6600027084350586,0.0,0.0,0.0,0.0,0.0
e0936d55-6517-4252-a9bb-6462cf152bcb,0,0.665437638759613,0.0,0.0,0.0,0.0,0.0
50384c38-f558-4302-9980-b931d5a5b998,0,0.6835836172103882,0.0,0.0,0.0,0.0,0.0
a9116dcb-fe40-40d1-a642-51195a0e005e,0,0.6736145615577698,0.0,0.0,0.0,0.0,0.0
72bc363f-7e81-40bf-a79e-28ffdcb1ff6e,0,0.6777080297470093,0.0,0.0,0.0,0.0,0.0
a336415e-1a3f-4c82-be8d-0da8f7091fc0,0,0.6802018284797668,0.0,0.0,0.0,0.0,0.0
230321f3-2482-46bb-b9f1-363930d7e853,0,0.6617767214775085,0.0,0.0,0.0,0.0,0.0
06c2c365-0506-4c80-bfc7-92e4118fa364,0,0.6642959713935852,0.0,0.0,0.0,0.0,0.0
e4f5e810-4a48-4b14-8971-643569c62d3b,0,0.6936513185501099,0.0,0.0,0.0,0.0,0.0
e9ffbf8a-4474-4bb2-8e00-eb098e8f8817,0,0.6806557178497314,0.0,0.0,0.0,0.0,0.0
0a343a21-0ec4-4839-b511-67a840ec2772,0,0.6896553039550781,0.0,0.0,0.0,0.0,0.0
1d5b866a-5129-42b2-a5d7-64a21273f63f,0,0.6822764277458191,0.0,0.0,0.0,0.0,0.0
84be79b6-3889-475d-91b6-cc67b3fab549,0,0.6730256080627441,0.0,0.0,0.0,0.0,0.0
4c45bba2-659b-4ec2-9c45-d43cdf17abaa,0,0.675969123840332,0.0,0.0,0.0,0.0,0.0
fbc9141b-5e93-43a3-946d-4142321ec643,0,0.6900148987770081,0.0,0.0,0.0,0.0,0.0
329a312a-2b51-4355-8a88-5c1a1ea46248,0,0.6928843855857849,0.0,0.0,0.0,0.0,0.0
d1583c7c-c14f-4e00-9743-0935e5c632be,0,0.6745029091835022,0.0,0.0,0.0,0.0,0.0
471211af-ee45-4777-8985-eab8fb5819b8,0,0.6728326082229614,0.0,0.0,0.0,0.0,0.0
4e9609a6-0944-43e9-9ded-fbc35cc1ea2f,0,0.6661921739578247,0.0,0.0,0.0,0.0,0.0
e3dc6659-4d2d-43fd-bce5-d7e45dc1ff30,0,0.6794134378433228,0.0,0.0,0.0,0.0,0.0
47075648-2022-40a0-b1e8-9016be3882f2,0,0.6773339509963989,0.0,0.0,0.0,0.0,0.0
2a21cc37-d6ea-4c50-9efa-d26ddf6b0321,0,0.6765404939651489,0.0,0.0,0.0,0.0,0.0
04211d77-3ddd-4cfd-b1a3-a0d9af5b7847,0,0.6676098108291626,0.0,0.0,0.0,0.0,0.0
ce8b0023-8779-47fe-870e-a492aaeed5fc,0,0.6794180274009705,0.0,0.0,0.0,0.0,0.0
3c7a2533-b6e6-4802-8fe5-b2a0d7c2c56a,0,0.6816484928131104,0.0,0.0,0.0,0.0,0.0
f4db6cd6-4ddc-4d09-81e4-8f5e80c6b83f,0,0.6806237697601318,0.0,0.0,0.0,0.0,0.0
a0482a0c-939d-4cdb-bae2-9a2ac5713062,0,0.682334840297699,0.0,0.0,0.0,0.0,0.0
c76ba877-8b3e-411c-9585-ffd8589f220c,0,0.6837379336357117,0.0,0.0,0.0,0.0,0.0
96ad797e-9087-4460-a5c7-baede702db6e,0,0.6651009321212769,0.0,0.0,0.0,0.0,0.0
066af22b-cf4a-4ce8-b218-1225d7a880e4,0,0.6765336394309998,0.0,0.0,0.0,0.0,0.0
81d5a974-da08-4d17-96fc-0de631b75056,0,0.6734600067138672,0.0,0.0,0.0,0.0,0.0
185a5730-8cb1-4a41-91fe-b49b5a2ef4b5,0,0.689220130443573,0.0,0.0,0.0,0.0,0.0
fc959280-94d7-47e3-beed-da0af726bc21,0,0.6844959855079651,0.0,0.0,0.0,0.0,0.0
135d3605-d3a8-4be1-b142-f4ea94261242,0,0.6708110570907593,0.0,0.0,0.0,0.0,0.0
0523accc-a973-4572-8342-6946f26ae074,0,0.6753774285316467,0.0,0.0,0.0,0.0,0.0
15ef01bc-a7f0-45a5-85b5-82d1e9564705,0,0.6805575489997864,0.0,0.0,0.0,0.0,0.0
e3bc460a-73a1-4224-9ab2-0e9d85b7de7f,0,0.6716124415397644,0.0,0.0,0.0,0.0,0.0
63b4547b-c864-4ccf-bc2f-54fc5f68192b,0,0.6865730881690979,0.0,0.0,0.0,0.0,0.0
59ec86df-6fa7-42b8-a71e-f6a2fa4aa709,0,0.6713147163391113,0.0,0.0,0.0,0.0,0.0
fb56f4dc-7efd-474d-bc0e-d36734cb552f,0,0.6612669229507446,0.0,0.0,0.0,0.0,0.0
882e4080-ad84-46ce-89a4-13e223a9bb6b,0,0.6826456785202026,0.0,0.0,0.0,0.0,0.0
b14359b9-5a9d-424e-bbe0-7a64f6aed718,0,0.6729217171669006,0.0,0.0,0.0,0.0,0.0
de5239e1-7e44-45dc-9f50-8a03ef1fe405,0,0.6698112487792969,0.0,0.0,0.0,0.0,0.0
e2f99f21-6240-4124-95d8-7181302d8ff2,0,0.6916297078132629,0.0,0.0,0.0,0.0,0.0
